Teritoriālā vienība;Dzīvojamo telpu veids;Apdzīvoti mājokļi 2011;Apdzīvoti mājokļi 2021;Mājokļos dzīvojošās personas 2011;Mājokļos dzīvojošās personas 2021;Mājokļu pieaugums;Cilvēku pieaugums
Grīziņkalns;Apdzīvotie tradicionālie mājokļi;6093;6116;12753;11425;23;-1328
Grīziņkalns;Instucionālie mājokļi (kopējas dzīvojamās telpas);1;1;65;47;0;-18
Grīziņkalns;Citas dzīvojamās vienības;0;49;0;95;49;95
Iļģuciems;Pavisam;10088;10397;24005;21399;309;-2606
Iļģuciems;Apdzīvotie tradicionālie mājokļi;10055;10372;23859;21318;317;-2541
Iļģuciems;Instucionālie mājokļi (kopējas dzīvojamās telpas);27;9;131;37;-18;-94
Iļģuciems;Citas dzīvojamās vienības;6;14;15;36;8;21
Imanta;Pavisam;19194;20922;46644;43332;1728;-3312
Imanta;Apdzīvotie tradicionālie mājokļi;19177;20868;46459;43101;1691;-3358
Imanta;Instucionālie mājokļi (kopējas dzīvojamās telpas);7;5;149;103;-2;-46
Imanta;Citas dzīvojamās vienības;10;26;36;58;16;22
Jaunciems;Pavisam;843;885;2475;2316;42;-159
Jaunciems;Apdzīvotie tradicionālie mājokļi;841;872;2468;2292;31;-176
Jaunciems;Instucionālie mājokļi (kopējas dzīvojamās telpas);1;0;6;0;-1;-6
Jaunciems;Citas dzīvojamās vienības;1;2;1;7;1;6
Jugla;Pavisam;11060;11488;25094;23066;428;-2028
Jugla;Apdzīvotie tradicionālie mājokļi;11047;11429;24728;22685;382;-2043
Jugla;Instucionālie mājokļi (kopējas dzīvojamās telpas);6;4;352;217;-2;-135
Jugla;Citas dzīvojamās vienības;7;40;14;143;33;129
Katlakalns;Pavisam;49;51;141;160;2;19
Katlakalns;Apdzīvotie tradicionālie mājokļi;49;46;141;147;-3;6
Katlakalns;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Katlakalns;Citas dzīvojamās vienības;0;4;0;12;4;12
Kleisti;Pavisam;74;169;217;455;95;238
Kleisti;Apdzīvotie tradicionālie mājokļi;74;147;217;390;73;173
Kleisti;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Kleisti;Citas dzīvojamās vienības;0;5;0;17;5;17
Kundziņsala;Pavisam;141;139;399;361;-2;-38
Kundziņsala;Apdzīvotie tradicionālie mājokļi;140;133;398;351;-7;-47
Kundziņsala;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Kundziņsala;Citas dzīvojamās vienības;1;4;1;6;3;5
Ķengarags;Pavisam;21830;22706;50345;45081;876;-5264
Ķengarags;Apdzīvotie tradicionālie mājokļi;21670;22669;50037;45017;999;-5020
Ķengarags;Instucionālie mājokļi (kopējas dzīvojamās telpas);152;5;292;15;-147;-277
Ķengarags;Citas dzīvojamās vienības;8;28;16;44;20;28
Ķīpsala;Pavisam;255;282;778;814;27;36
Ķīpsala;Apdzīvotie tradicionālie mājokļi;248;265;637;561;17;-76
Ķīpsala;Instucionālie mājokļi (kopējas dzīvojamās telpas);7;4;141;223;-3;82
Ķīpsala;Citas dzīvojamās vienības;0;3;0;4;3;4
Latgales apkaime;Pavisam;10970;11201;27179;24199;231;-2980
Latgales apkaime;Apdzīvotie tradicionālie mājokļi;10950;10855;25571;22167;-95;-3404
Latgales apkaime;Instucionālie mājokļi (kopējas dzīvojamās telpas);10;36;111;428;26;317
Latgales apkaime;Citas dzīvojamās vienības;10;104;1497;1176;94;-321
Mangaļsala;Pavisam;478;479;1348;1201;1;-147
Mangaļsala;Apdzīvotie tradicionālie mājokļi;476;469;1344;1178;-7;-166
Mangaļsala;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Mangaļsala;Citas dzīvojamās vienības;2;4;4;7;2;3
Mežaparks;Pavisam;1497;1626;4201;3955;129;-246
Mežaparks;Apdzīvotie tradicionālie mājokļi;1492;1602;4133;3840;110;-293
Mežaparks;Instucionālie mājokļi (kopējas dzīvojamās telpas);4;4;67;63;0;-4
Mežaparks;Citas dzīvojamās vienības;1;9;1;27;8;26
Mežciems;Pavisam;5740;6366;15268;14779;626;-489
Mežciems;Apdzīvotie tradicionālie mājokļi;5732;6353;14554;14151;621;-403
Mežciems;Instucionālie mājokļi (kopējas dzīvojamās telpas);5;4;699;610;-1;-89
Mežciems;Citas dzīvojamās vienības;3;9;15;18;6;3
Mīlgrāvis;Pavisam;1559;1783;3925;3777;224;-148
