Teritoriālā vienība;Īpašumtiesību veids;Skaits 2011;Skaits 2021;% 2011;% 2021
Jaunciems;Pavisam;842;885;100;100
Jaunciems;Īpašnieka apdzīvoti mājokļi;608;613;72;69
Jaunciems;Īres mājokļi;45;71;5;8
Jaunciems;Citu īpašumtiesību veidu mājokļi;183;198;22;22
Jugla;Pavisam;11054;11484;100;100
Jugla;Īpašnieka apdzīvoti mājokļi;7887;7570;71;66
Jugla;Īres mājokļi;965;1474;9;13
Jugla;Citu īpašumtiesību veidu mājokļi;2192;2437;20;21
Katlakalns;Pavisam;49;51;100;100
Katlakalns;Īpašnieka apdzīvoti mājokļi;28;24;57;47
Katlakalns;Īres mājokļi;8;20;16;39
Katlakalns;Citu īpašumtiesību veidu mājokļi;11;6;22;12
Kleisti;Pavisam;74;169;100;100
Kleisti;Īpašnieka apdzīvoti mājokļi;43;99;58;59
Kleisti;Īres mājokļi;20;34;27;20
Kleisti;Citu īpašumtiesību veidu mājokļi;9;33;12;20
Kundziņsala;Pavisam;141;139;100;100
Kundziņsala;Īpašnieka apdzīvoti mājokļi;91;77;65;55
Kundziņsala;Īres mājokļi;16;24;11;17
Kundziņsala;Citu īpašumtiesību veidu mājokļi;32;37;23;27
Ķengarags;Pavisam;21678;22701;100;100
Ķengarags;Īpašnieka apdzīvoti mājokļi;16335;15736;75;69
Ķengarags;Īres mājokļi;1479;2647;7;12
Ķengarags;Citu īpašumtiesību veidu mājokļi;3859;4316;18;19
Ķīpsala;Pavisam;248;278;100;100
Ķīpsala;Īpašnieka apdzīvoti mājokļi;97;145;39;52
Ķīpsala;Īres mājokļi;73;83;29;30
Ķīpsala;Citu īpašumtiesību veidu mājokļi;64;47;26;17
Latgales apkaime;Pavisam;10963;11165;100;100
Latgales apkaime;Īpašnieka apdzīvoti mājokļi;5816;5738;53;51
Latgales apkaime;Īres mājokļi;2916;3491;27;31
Latgales apkaime;Citu īpašumtiesību veidu mājokļi;2167;1924;20;17
Mangaļsala;Pavisam;478;479;100;100
Mangaļsala;Īpašnieka apdzīvoti mājokļi;412;366;86;76
Mangaļsala;Īres mājokļi;13;30;3;6
Mangaļsala;Citu īpašumtiesību veidu mājokļi;53;78;11;16
Mežaparks;Pavisam;1493;1622;100;100
Mežaparks;Īpašnieka apdzīvoti mājokļi;1054;1087;71;67
Mežaparks;Īres mājokļi;156;213;10;13
Mežaparks;Citu īpašumtiesību veidu mājokļi;279;317;19;20
Mežciems;Pavisam;5735;6362;100;100
Mežciems;Īpašnieka apdzīvoti mājokļi;4502;4752;79;75
Mežciems;Īres mājokļi;245;469;4;7
Mežciems;Citu īpašumtiesību veidu mājokļi;974;1140;17;18
Mīlgrāvis;Pavisam;1559;1783;100;100
Mīlgrāvis;Īpašnieka apdzīvoti mājokļi;1057;1215;68;68
Mīlgrāvis;Īres mājokļi;107;255;7;14
Mīlgrāvis;Citu īpašumtiesību veidu mājokļi;393;313;25;18
Mūkupurvs;Pavisam;53;61;100;100
Mūkupurvs;Īpašnieka apdzīvoti mājokļi;40;34;75;56
Mūkupurvs;Īres mājokļi;2;8;4;13
Mūkupurvs;Citu īpašumtiesību veidu mājokļi;7;18;13;30
Pētersala-Andrejsala;Pavisam;2325;2630;100;100
Pētersala-Andrejsala;Īpašnieka apdzīvoti mājokļi;1477;1576;64;60
Pētersala-Andrejsala;Īres mājokļi;457;557;20;21
Pētersala-Andrejsala;Citu īpašumtiesību veidu mājokļi;382;497;16;19
Pleskodāle;Pavisam;2009;2147;100;100
Pleskodāle;Īpašnieka apdzīvoti mājokļi;1353;1249;67;58
Pleskodāle;Īres mājokļi;274;442;14;21
Pleskodāle;Citu īpašumtiesību veidu mājokļi;376;449;19;21
Pļavnieki;Pavisam;18210;19478;100;100
Pļavnieki;Īpašnieka apdzīvoti mājokļi;13839;14017;76;72
Pļavnieki;Īres mājokļi;1416;2031;8;10
Pļavnieki;Citu īpašumtiesību veidu mājokļi;2953;3427;16;18
Purvciems;Pavisam;25255;26591;100;100
Purvciems;Īpašnieka apdzīvoti mājokļi;18962;18530;75;70
Purvciems;Īres mājokļi;1874;2965;7;11
Purvciems;Citu īpašumtiesību veidu mājokļi;4413;5090;17;19
Rumbula;Pavisam;348;358;100;100
Rumbula;Īpašnieka apdzīvoti mājokļi;242;239;70;67
Rumbula;Īres mājokļi;15;52;4;15
Rumbula;Citu īpašumtiesību veidu mājokļi;88;67;25;19
Salas;Pavisam;29;26;100;100
Salas;Īpašnieka apdzīvoti mājokļi;22;13;76;50
Salas;Īres mājokļi;0;6;0;23
Salas;Citu īpašumtiesību veidu mājokļi;7;7;24;27
Sarkandaugava;Pavisam;8016;8142;100;100
Sarkandaugava;Īpašnieka apdzīvoti mājokļi;5426;5155;68;63
Sarkandaugava;Īres mājokļi;1042;1461;13;18
Sarkandaugava;Citu īpašumtiesību veidu mājokļi;1540;1523;19;19
Skanste;Pavisam;331;858;100;100
Skanste;Īpašnieka apdzīvoti mājokļi;232;515;70;60
Skanste;Īres mājokļi;27;162;8;19
Skanste;Citu īpašumtiesību veidu mājokļi;67;181;20;21
Spilve;Pavisam;37;35;100;100
Spilve;Īpašnieka apdzīvoti mājokļi;12;11;32;31
Spilve;Īres mājokļi;9;15;24;43
Spilve;Citu īpašumtiesību veidu mājokļi;16;9;43;26
Suži;Pavisam;174;187;100;100
Suži;Īpašnieka apdzīvoti mājokļi;137;145;79;78
Suži;Īres mājokļi;19;17;11;9
Suži;Citu īpašumtiesību veidu mājokļi;18;25;10;13
Šampēteris;Pavisam;2158;2411;100;100
Šampēteris;Īpašnieka apdzīvoti mājokļi;1489;1568;69;65
Šampēteris;Īres mājokļi;223;347;10;14
Šampēteris;Citu īpašumtiesību veidu mājokļi;443;495;21;21
Šķirotava;Pavisam;861;908;100;100
Šķirotava;Īpašnieka apdzīvoti mājokļi;590;583;69;64
Šķirotava;Īres mājokļi;78;158;9;17
Šķirotava;Citu īpašumtiesību veidu mājokļi;187;166;22;18
Teika;Pavisam;12260;13950;100;100
Teika;Īpašnieka apdzīvoti mājokļi;8426;8987;69;64
Teika;Īres mājokļi;1643;2251;13;16
Teika;Citu īpašumtiesību veidu mājokļi;2166;2701;18;19
Torņakalns;Pavisam;2747;2794;100;100
Torņakalns;Īpašnieka apdzīvoti mājokļi;1309;1294;48;46
Torņakalns;Īres mājokļi;921;1008;34;36
Torņakalns;Citu īpašumtiesību veidu mājokļi;495;484;18;17
Trīsciems;Pavisam;298;397;100;100
Trīsciems;Īpašnieka apdzīvoti mājokļi;226;294;76;74
Trīsciems;Īres mājokļi;5;22;2;6
Trīsciems;Citu īpašumtiesību veidu mājokļi;62;77;21;19
Vecāķi;Pavisam;488;730;100;100
Vecāķi;Īpašnieka apdzīvoti mājokļi;416;479;85;66
Vecāķi;Īres mājokļi;16;72;3;10
Vecāķi;Citu īpašumtiesību veidu mājokļi;56;171;11;23
Vecdaugava;Pavisam;445;477;100;100
Vecdaugava;Īpašnieka apdzīvoti mājokļi;354;341;80;71
Vecdaugava;Īres mājokļi;15;39;3;8
Vecdaugava;Citu īpašumtiesību veidu mājokļi;74;96;17;20
Vecmīlgrāvis;Pavisam;9161;9331;100;100
Vecmīlgrāvis;Īpašnieka apdzīvoti mājokļi;6862;6516;75;70
Vecmīlgrāvis;Īres mājokļi;582;1096;6;12
Vecmīlgrāvis;Citu īpašumtiesību veidu mājokļi;1709;1716;19;18
Vecpilsēta;Pavisam;898;993;100;100
Vecpilsēta;Īpašnieka apdzīvoti mājokļi;332;394;37;40
Vecpilsēta;Īres mājokļi;179;361;20;36
Vecpilsēta;Citu īpašumtiesību veidu mājokļi;359;234;40;24
Voleri;Pavisam;116;125;100;100
Voleri;Īpašnieka apdzīvoti mājokļi;68;72;59;58
Voleri;Īres mājokļi;7;21;6;17
Voleri;Citu īpašumtiesību veidu mājokļi;40;32;34;26
Zasulauks;Pavisam;2902;3142;100;100
Zasulauks;Īpašnieka apdzīvoti mājokļi;2288;2172;79;69
Zasulauks;Īres mājokļi;223;344;8;11
Zasulauks;Citu īpašumtiesību veidu mājokļi;389;625;13;20
Ziepniekkalns;Pavisam;13605;14416;100;100
Ziepniekkalns;Īpašnieka apdzīvoti mājokļi;10011;10098;74;70
Ziepniekkalns;Īres mājokļi;1081;1584;8;11
Ziepniekkalns;Citu īpašumtiesību veidu mājokļi;2502;2725;18;19
Zolitūde;Pavisam;7253;7759;100;100
Zolitūde;Īpašnieka apdzīvoti mājokļi;5879;5761;81;74
Zolitūde;Īres mājokļi;363;568;5;7
Zolitūde;Citu īpašumtiesību veidu mājokļi;1005;1423;14;18
