Teritoriālā vienība;Dzīvojamā platība uz vienu iemītnieku;2011;2021
Grīziņkalns;10–14.9 m²;959;614
Grīziņkalns;15–19.9 m²;835;723
Grīziņkalns;20–29.9 m²;1769;1798
Grīziņkalns;30–39.9 m²;789;939
Grīziņkalns;40–59.9 m²;789;1112
Grīziņkalns;60–79.9 m²;206;355
Grīziņkalns;80+ m²;88;199
Iļģuciems;<10 m²;717;413
Iļģuciems;10–14.9 m²;1695;1164
Iļģuciems;15–19.9 m²;1845;1454
Iļģuciems;20–29.9 m²;2850;2745
Iļģuciems;30–39.9 m²;1074;1201
Iļģuciems;40–59.9 m²;1646;2807
Iļģuciems;60–79.9 m²;190;518
Iļģuciems;80+ m²;30;70
Imanta;<10 m²;948;424
Imanta;10–14.9 m²;2270;1517
Imanta;15–19.9 m²;3674;2913
Imanta;20–29.9 m²;5398;5182
Imanta;30–39.9 m²;2854;3801
Imanta;40–59.9 m²;2951;4696
Imanta;60–79.9 m²;850;1902
Imanta;80+ m²;194;433
Jaunciems;<10 m²;100;69
Jaunciems;10–14.9 m²;133;108
Jaunciems;15–19.9 m²;90;78
Jaunciems;20–29.9 m²;193;186
Jaunciems;30–39.9 m²;75;99
Jaunciems;40–59.9 m²;118;153
Jaunciems;60–79.9 m²;50;67
Jaunciems;80+ m²;72;112
Jugla;<10 m²;719;438
Jugla;10–14.9 m²;2017;1315
Jugla;15–19.9 m²;1570;1404
Jugla;20–29.9 m²;2840;2597
Jugla;30–39.9 m²;1369;1860
Jugla;40–59.9 m²;2190;3185
Jugla;60–79.9 m²;157;372
Jugla;80+ m²;133;258
Katlakalns;<10 m²;4;3
Katlakalns;10–14.9 m²;10;9
Katlakalns;15–19.9 m²;4;8
Katlakalns;20–29.9 m²;6;10
Katlakalns;30–39.9 m²;6;8
Katlakalns;40–59.9 m²;6;3
Katlakalns;60–79.9 m²;1;1
Katlakalns;80+ m²;8;4
Kleisti;<10 m²;8;9
Kleisti;10–14.9 m²;11;9
Kleisti;15–19.9 m²;8;11
Kleisti;20–29.9 m²;14;28
Kleisti;30–39.9 m²;10;20
Kleisti;40–59.9 m²;7;19
Kleisti;60–79.9 m²;6;20
Kleisti;80+ m²;8;30
Kundziņsala;<10 m²;21;11
Kundziņsala;10–14.9 m²;24;15
Kundziņsala;15–19.9 m²;18;21
Kundziņsala;20–29.9 m²;27;30
Kundziņsala;30–39.9 m²;19;20
Kundziņsala;40–59.9 m²;15;21
Kundziņsala;60–79.9 m²;3;4
Kundziņsala;80+ m²;11;10
Ķengarags;<10 m²;1611;878
Ķengarags;10–14.9 m²;4599;2487
Ķengarags;15–19.9 m²;3669;3652
Ķengarags;20–29.9 m²;5888;5148
Ķengarags;30–39.9 m²;2161;4240
Ķengarags;40–59.9 m²;3437;5164
Ķengarags;60–79.9 m²;191;993
Ķengarags;80+ m²;33;107
Ķīpsala;<10 m²;18;5
Ķīpsala;10–14.9 m²;30;7
Ķīpsala;15–19.9 m²;21;21
Ķīpsala;20–29.9 m²;41;39
Ķīpsala;30–39.9 m²;35;37
Ķīpsala;40–59.9 m²;45;55
Ķīpsala;60–79.9 m²;18;34
Ķīpsala;80+ m²;23;67
Latgales apkaime;<10 m²;1130;655
Latgales apkaime;10–14.9 m²;1778;1201
Latgales apkaime;15–19.9 m²;1810;1468
Latgales apkaime;20–29.9 m²;2788;2696
Latgales apkaime;30–39.9 m²;1338;1776
Latgales apkaime;40–59.9 m²;1529;2184
Latgales apkaime;60–79.9 m²;290;645
Latgales apkaime;80+ m²;127;224
Mangaļsala;<10 m²;38;11
Mangaļsala;10–14.9 m²;68;31
Mangaļsala;15–19.9 m²;86;57
Mangaļsala;20–29.9 m²;106;103
Mangaļsala;30–39.9 m²;65;79
Mangaļsala;40–59.9 m²;72;93
Mangaļsala;60–79.9 m²;25;63
Mangaļsala;80+ m²;16;32
Mežaparks;<10 m²;29;19
Mežaparks;10–14.9 m²;125;51
Mežaparks;15–19.9 m²;159;123
Mežaparks;20–29.9 m²;311;279
Mežaparks;30–39.9 m²;237;238
Mežaparks;40–59.9 m²;228;270
Mežaparks;60–79.9 m²;141;216
Mežaparks;80+ m²;239;406
Mežciems;<10 m²;240;87
Mežciems;10–14.9 m²;604;396
Mežciems;15–19.9 m²;1152;956
Mežciems;20–29.9 m²;1610;1525
Mežciems;30–39.9 m²;1017;1363
Mežciems;40–59.9 m²;694;1088
Mežciems;60–79.9 m²;335;736
Mežciems;80+ m²;64;202
Mīlgrāvis;<10 m²;139;85
Mīlgrāvis;10–14.9 m²;288;196
Mīlgrāvis;15–19.9 m²;255;230
Mīlgrāvis;20–29.9 m²;450;489
Mīlgrāvis;30–39.9 m²;87;147
Mīlgrāvis;40–59.9 m²;283;497
Mīlgrāvis;60–79.9 m²;24;76
Mīlgrāvis;80+ m²;30;49
Mūkupurvs;<10 m²;2;1
Mūkupurvs;10–14.9 m²;10;6
Mūkupurvs;15–19.9 m²;6;4
Mūkupurvs;20–29.9 m²;10;6
Mūkupurvs;30–39.9 m²;8;6
Mūkupurvs;40–59.9 m²;6;10
Mūkupurvs;60–79.9 m²;3;9
Mūkupurvs;80+ m²;3;7
Pētersala-Andrejsala;<10 m²;169;78
Pētersala-Andrejsala;10–14.9 m²;400;237
Pētersala-Andrejsala;15–19.9 m²;319;291
Pētersala-Andrejsala;20–29.9 m²;629;678
Pētersala-Andrejsala;30–39.9 m²;286;383
Pētersala-Andrejsala;40–59.9 m²;407;679
Pētersala-Andrejsala;60–79.9 m²;65;169
Pētersala-Andrejsala;80+ m²;34;91
Pleskodāle;<10 m²;175;90
Pleskodāle;10–14.9 m²;250;156
Pleskodāle;15–19.9 m²;245;218
Pleskodāle;20–29.9 m²;436;431
Pleskodāle;30–39.9 m²;274;317
Pleskodāle;40–59.9 m²;306;415
Pleskodāle;60–79.9 m²;123;240
Pleskodāle;80+ m²;163;235
Pļavnieki;<10 m²;947;330
Pļavnieki;10–14.9 m²;1999;1501
Pļavnieki;15–19.9 m²;4182;2734
Pļavnieki;20–29.9 m²;4303;4147
Pļavnieki;30–39.9 m²;4171;4537
Pļavnieki;40–59.9 m²;1790;4124
Pļavnieki;60–79.9 m²;757;1921
Pļavnieki;80+ m²;51;169
Purvciems;<10 m²;1438;709
Purvciems;10–14.9 m²;3600;2156
Purvciems;15–19.9 m²;4687;3520
Purvciems;20–29.9 m²;6857;6034
Purvciems;30–39.9 m²;3949;5139
Purvciems;40–59.9 m²;3677;5857
Purvciems;60–79.9 m²;851;2614
Purvciems;80+ m²;159;543
Rumbula;<10 m²;37;14
Rumbula;10–14.9 m²;98;27
Rumbula;15–19.9 m²;32;56
Rumbula;20–29.9 m²;115;82
Rumbula;30–39.9 m²;22;67
Rumbula;40–59.9 m²;38;80
Rumbula;60–79.9 m²;3;22
Rumbula;80+ m²;0;3
Salas;<10 m²;4;1
Salas;10–14.9 m²;5;2
Salas;15–19.9 m²;4;2
Salas;20–29.9 m²;3;2
Salas;30–39.9 m²;1;1
Salas;40–59.9 m²;4;4
Salas;60–79.9 m²;3;3
Salas;80+ m²;4;6
Sarkandaugava;<10 m²;695;409
Sarkandaugava;10–14.9 m²;1460;1007
Sarkandaugava;15–19.9 m²;1187;972
Sarkandaugava;20–29.9 m²;2237;2154
Sarkandaugava;30–39.9 m²;1034;1190
Sarkandaugava;40–59.9 m²;1129;1931
Sarkandaugava;60–79.9 m²;127;292
Sarkandaugava;80+ m²;50;83
Skanste;<10 m²;10;7
Skanste;10–14.9 m²;39;46
Skanste;15–19.9 m²;41;42
Skanste;20–29.9 m²;102;175
Skanste;30–39.9 m²;42;121
Skanste;40–59.9 m²;64;172
Skanste;60–79.9 m²;18;135
Skanste;80+ m²;9;151
Spilve;<10 m²;6;4
Spilve;10–14.9 m²;6;2
Spilve;15–19.9 m²;9;3
Spilve;20–29.9 m²;4;7
Spilve;30–39.9 m²;6;12
Spilve;40–59.9 m²;0;1
Spilve;60–79.9 m²;3;1
Spilve;80+ m²;2;0
Suži;<10 m²;21;10
Suži;10–14.9 m²;25;18
Suži;15–19.9 m²;32;24
Suži;20–29.9 m²;19;19
Suži;30–39.9 m²;34;54
Suži;40–59.9 m²;20;34
Suži;60–79.9 m²;6;4
Suži;80+ m²;17;23
Šampēteris;<10 m²;216;105
Šampēteris;10–14.9 m²;398;307
Šampēteris;15–19.9 m²;321;291
Šampēteris;20–29.9 m²;578;647
Šampēteris;30–39.9 m²;243;309
Šampēteris;40–59.9 m²;337;594
Šampēteris;60–79.9 m²;36;94
Šampēteris;80+ m²;23;56
Šķirotava;<10 m²;163;113
Šķirotava;10–14.9 m²;160;151
Šķirotava;15–19.9 m²;151;150
