"Apdzīvoti mājokļi un tajos dzīvojošās personas reģionos, republikas pilsētās, novados un apkaimēs – Teritoriālā vienība, Dzīvojamo telpu veids, Mērvienība un Laika periods"

"Teritoriālā vienība";"Dzīvojamo telpu veids";"Apdzīvoti mājokļi 2011";"Apdzīvoti mājokļi 2021";"Mājokļos dzīvojošās personas 2011";"Mājokļos dzīvojošās personas 2021"
"..Dārziņi";"Pavisam";847;1702;2324;3735
"..Dārziņi";"Apdzīvotie tradicionālie mājokļi";836;1674;2301;3671
"..Dārziņi";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Dārziņi";"Citas dzīvojamās vienības";11;19;23;45
"..Dārziņi";"Nav norādīts";0;9;0;19
"..Dreiliņi";"Pavisam";2127;2842;5602;7085
"..Dreiliņi";"Apdzīvotie tradicionālie mājokļi";2126;2839;5600;7079
"..Dreiliņi";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Dreiliņi";"Citas dzīvojamās vienības";1;1;2;1
"..Dreiliņi";"Nav norādīts";0;2;0;5
"..Dzirciems";"Pavisam";5114;5416;12094;11109
"..Dzirciems";"Apdzīvotie tradicionālie mājokļi";5109;5358;11676;10589
"..Dzirciems";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";2;11;415;253
"..Dzirciems";"Citas dzīvojamās vienības";3;24;3;213
"..Dzirciems";"Nav norādīts";0;23;0;54
"..Grīziņkalns";"Pavisam";6094;6309;12818;11845
"..Grīziņkalns";"Apdzīvotie tradicionālie mājokļi";6093;6116;12753;11425
"..Grīziņkalns";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";1;1;65;47
"..Grīziņkalns";"Citas dzīvojamās vienības";0;49;0;95
"..Grīziņkalns";"Nav norādīts";0;143;0;278
"..Iļģuciems";"Pavisam";10088;10397;24005;21399
"..Iļģuciems";"Apdzīvotie tradicionālie mājokļi";10055;10372;23859;21318
"..Iļģuciems";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";27;9;131;37
"..Iļģuciems";"Citas dzīvojamās vienības";6;14;15;36
"..Iļģuciems";"Nav norādīts";0;2;0;8
"..Imanta";"Pavisam";19194;20922;46644;43332
"..Imanta";"Apdzīvotie tradicionālie mājokļi";19177;20868;46459;43101
"..Imanta";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";7;5;149;103
"..Imanta";"Citas dzīvojamās vienības";10;26;36;58
"..Imanta";"Nav norādīts";0;23;0;70
"..Jaunciems";"Pavisam";843;885;2475;2316
"..Jaunciems";"Apdzīvotie tradicionālie mājokļi";841;872;2468;2292
"..Jaunciems";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";1;0;6;0
"..Jaunciems";"Citas dzīvojamās vienības";1;2;1;7
"..Jaunciems";"Nav norādīts";0;11;0;17
"..Jugla";"Pavisam";11060;11488;25094;23066
